연관키워드,월간검색수(PC),월간검색수(모바일),월평균클릭수(PC),월평균클릭수(모바일),월평균클릭률(PC),월평균클릭률(모바일),경쟁정도,월평균노출 광고수
아라우카리아화분,< 10,40,0.7,0,8.34%,-,높음,3
복도꾸미기,< 10,40,0,0.3,-,0.65%,중간,5
매발톱씨앗,< 10,40,0.3,0,11.12%,-,높음,3
달맞이꽃씨,< 10,40,0,1,-,2.64%,높음,8
대형슬릿화분,< 10,40,0.1,0.3,2.05%,0.67%,높음,7
사각긴화분,< 10,40,0,0,-,-,높음,3
국산분무기,< 10,40,0,1,-,2.18%,높음,8
금장가구,< 10,40,0,5.3,-,10.94%,높음,10
비올라꽃씨,< 10,40,0.3,0.3,4.17%,0.52%,높음,3
궁채씨,< 10,40,0.4,5.1,11.12%,12.68%,중간,2
달맞이꽃씨앗,< 10,40,0,2.1,-,4.91%,높음,7
샐러드소스용기,< 10,40,0.3,0.3,2.28%,0.57%,높음,8
나물씨앗,< 10,40,0.7,4.3,11.12%,9.89%,중간,6
아욱씨앗,< 10,40,0,1,-,2.71%,높음,9
코코피트상토,10,30,0.2,0,1.62%,-,중간,5
텃밭세트,10,30,0.1,0.5,0.84%,1.39%,높음,8
텃밭용흙,10,30,0.1,1,1.57%,3.45%,높음,8
분갈이흙50L,10,30,0.7,0,5.13%,-,높음,3
분갈이용품,10,30,0.5,1,5%,3.45%,높음,8
소나무비료,10,30,0.1,1.5,0.84%,5.77%,높음,10
과수전용비료,10,30,0.3,1,2.5%,3.97%,중간,3
유기질퇴비,10,30,0.4,1,2.68%,2.95%,높음,8
막대비료,30,10,0.3,0,1%,-,높음,7
분갈이해주는곳,10,30,0,0,-,-,높음,3
난비료,10,30,1,0.3,9.1%,0.65%,높음,3
간사석,30,10,1.6,1.5,4.39%,12.5%,높음,9
농사용투명비닐,10,30,0,0.5,-,1.54%,높음,3
잔디모래,10,30,0.5,1.3,3.34%,5.21%,높음,8
농업용유황,10,30,0,0,-,-,중간,4
접목비닐,10,30,0.4,0.8,4.29%,2.57%,높음,7
원예교육,20,20,0.3,0.3,1.04%,1.05%,높음,10
멀칭재료,20,20,0,0.7,-,3.85%,중간,2
브라운패치,20,20,0,0,-,-,중간,2
페어리링,10,30,0.4,0,3.71%,-,높음,3
원예용복합비료,10,30,0.1,1.3,0.72%,3.68%,높음,10
메탈화분,10,30,1,0,9.1%,-,높음,3
친환경퇴비,10,30,0,1.3,-,4.47%,높음,8
결혼축하화분,20,20,0.4,0.5,2.05%,2.28%,높음,7
대형오크통,10,30,0.8,4.5,7.82%,13.64%,중간,6
화분구입,10,30,0.4,0.5,2.68%,1.48%,높음,7
우드화분,10,30,0,0,-,-,높음,3
진급축하화분,20,20,0.3,0,1.16%,-,높음,10
48000,10,30,0.5,0,3.58%,-,중간,2
돈버는나무,10,30,0,3.1,-,11.12%,낮음,2
비건영양제,10,30,0.3,0.3,1.93%,0.72%,높음,8
비건종합비타민,10,30,0.3,3,2.5%,8.58%,높음,8
혼합유기질비료,10,30,0,0,-,-,높음,3
장미전용상토,10,30,0.4,0,4%,-,중간,5
루트케이,20,20,0.8,0,4%,-,중간,1
백향과모종,10,30,0,1.4,-,4.63%,높음,3
삼지짱,10,30,0.5,1.6,4.17%,4.45%,낮음,2
장미전용비료,10,30,0.3,0,2.23%,-,높음,3
원예용자갈,10,30,0.5,2.3,3.13%,6.09%,높음,8
중사모래,20,20,0.4,0.3,2.15%,1.13%,높음,7
멀칭제,20,20,0.3,1.5,0.99%,5.89%,높음,7
황토콘크리트,30,10,2.1,1.5,6.31%,10.72%,높음,7
쇄석가격,20,20,1.1,1,4.23%,3.71%,높음,3
모래판매,10,30,0.8,1.5,4.45%,4.69%,높음,10
용인골재,20,20,0.7,2.3,2.92%,7.76%,높음,10
배토사,30,10,1.1,0.5,3.09%,3.93%,중간,6
백일홍모종,10,30,0,1.5,-,5.77%,중간,5
가지고추모종,10,30,0.3,0.8,2.82%,2.5%,중간,6
고추모종판매,10,30,0.1,0.5,1.12%,1.86%,높음,7
가든용품,10,30,0,1.3,-,5.32%,높음,7
가드닝소품,10,30,0,0.5,-,1.67%,높음,8
화분받침대대형,10,30,0,0.6,-,1.82%,중간,5
건스프레이,20,20,2,2,7.7%,7.15%,높음,10
사무실화분관리,30,10,2.3,1.4,6.22%,9.34%,높음,10
강낭콩종자,10,30,0.8,3.3,5.36%,9.85%,높음,8
수박종자,10,30,1.4,3.4,8.41%,14.29%,높음,7
화분이동받침,10,30,0,0.3,-,0.84%,높음,3
씨앗화분,20,20,0.6,0.3,3.13%,1.32%,높음,8
화분바퀴받침대,10,30,0,0,-,-,높음,3
사무실식물인테리어,10,30,0.3,3.3,2.05%,9.85%,높음,7
물조리개2L,10,30,0,0,-,-,높음,3
채소종자,20,20,0.6,3,2.85%,14.29%,높음,8
대형화기,20,20,0.3,0.3,1.21%,0.91%,중간,3
기장씨앗,10,30,0,3.3,-,12.5%,높음,3
메주콩종자,10,30,0,0,-,-,중간,5
멜론키우기,10,30,0,0,-,-,높음,3
코스모스씨,10,30,0,0.3,-,1.14%,높음,8
야생화꽃씨,10,30,0.5,3.8,3.85%,12.5%,높음,8
CNC목공,10,30,1.1,2.5,6.73%,7.36%,높음,7
배부식분무기,10,30,0,0.3,-,0.76%,높음,7
황기모종,10,30,0.7,0,6.67%,-,높음,3
미니생수병,10,30,0,0,-,-,높음,3
대형포트,10,30,0,0.3,-,0.85%,높음,3
분재분,10,30,0,1,-,3.23%,높음,8
제초제분무기,10,30,0.4,0.8,3.41%,2.59%,높음,8
해바라기종자,10,30,0.1,2,1.05%,7.7%,높음,8
농업용동력분무기,10,30,0.6,1.5,3.18%,4.69%,높음,7
부추종자,20,20,0.6,1.5,3%,6.25%,높음,8
그린분갈이용토,< 10,30,0.3,0.3,3.64%,0.79%,높음,7
정원흙,< 10,30,0,1.3,-,4.32%,높음,8
방문분갈이,< 10,30,0.4,0.5,7.15%,1.95%,높음,7
퇴비판매,< 10,30,0.1,0.8,2.39%,2.53%,높음,7
분갈이용상토,< 10,30,0.3,0.8,5%,3%,높음,10
화분텃밭,< 10,30,0,0,-,-,높음,3
한아름상토50,< 10,30,0.3,0.5,5.56%,1.86%,높음,3
수경재배황토볼,< 10,30,0.3,0,6.67%,-,높음,3
다육이배양토,< 10,30,0,0,-,-,높음,3
검은자갈,< 10,30,0.1,2.3,2%,8.04%,높음,10
블루베리용토,< 10,30,0,0.8,-,2.09%,높음,3
천하통일상토,< 10,30,0,0,-,-,높음,3
화산돌,< 10,30,0,0.5,-,1.71%,높음,3
화분퇴비,< 10,30,0,0.3,-,0.87%,높음,7
정원학교,< 10,30,0.3,1.6,5%,5.77%,중간,4
정일품난석,< 10,30,0.3,0.6,3.71%,2.13%,높음,3
정사각화분,< 10,30,0.3,0,3.71%,-,높음,3
냄새없는퇴비,< 10,30,0,1,-,2.95%,중간,7
개업선물꽃,< 10,30,0.3,0.3,5.27%,0.66%,중간,4
대구선인장,< 10,30,0,0.3,-,0.68%,높음,3
개업선인장,< 10,30,0.3,0.8,4.77%,2.28%,높음,7
극락조가격,< 10,30,0.1,1.9,2.39%,5.43%,높음,7
대전화분선물,< 10,30,0,3.8,-,9.62%,높음,7
예쁜도자기화분,< 10,30,0.7,1.1,14.29%,2.95%,높음,7
생화분,< 10,30,0.1,0.8,2.09%,2.59%,높음,8
흰색도자기화분,< 10,30,0,0.8,-,2.26%,중간,6
당일화분,< 10,30,1.4,3.8,22.92%,12.5%,높음,8
꽃란,< 10,30,0,0.3,-,0.76%,높음,3
화분꽃배달,< 10,30,0,2.3,-,5.77%,높음,7
학원개원화분,< 10,30,0,1,-,3.34%,높음,8
화분행잉,< 10,30,0.3,0.5,6.67%,1.73%,높음,3
병원화분,< 10,30,0.1,1,2.09%,3.23%,높음,8
신장개업화분,< 10,30,0,1.8,-,6.04%,높음,10
해피트리영양제,< 10,30,0,0,-,-,높음,3
경화마사토포장,30,< 10,1.8,1.3,5.56%,31.25%,높음,10
경화마사토,30,< 10,1.9,0.6,5.38%,6.46%,높음,7
유기농종합비타민,< 10,30,0.8,1.5,8.34%,4.55%,높음,8
신선초모종,< 10,30,0.2,0,1.97%,-,중간,6
아삭이고추모종,< 10,30,0.2,1,3.85%,3.58%,중간,5
삽목뿌리발근제,< 10,30,0.4,2,7.5%,6.46%,높음,8
수세미모종,< 10,30,0,0,-,-,높음,3
어성초모종,< 10,30,0.1,1.8,2.05%,5%,중간,7
고추칼슘,< 10,30,0.1,0,2.13%,-,높음,7
나무주사기,< 10,30,0,0.3,-,0.76%,높음,3
마사토파는곳,< 10,30,0.1,3.1,2.39%,8.67%,높음,7
고추관주비료,< 10,30,0.4,5.3,5.36%,12.81%,높음,8
모두싹1KG,< 10,30,0.3,0.3,11.12%,0.67%,높음,3
야생꽃,< 10,30,0,0.3,-,0.89%,높음,3
감귤비료,< 10,30,0,0.5,-,1.73%,높음,3
사과착색제,< 10,30,0.1,2.3,2.64%,6.62%,높음,10
수용성복합비료,< 10,30,0.5,4.5,6.25%,13.64%,높음,8
사과탄저병약,< 10,30,0.4,1.5,10%,4.42%,중간,5
화분화산석,< 10,30,0.1,1,1%,2.71%,높음,10
마사자갈,< 10,30,0,0,-,-,높음,8
자갈파는곳,< 10,30,0,2.8,-,7.64%,높음,10
부순모래,30,< 10,0.9,0,2.61%,-,높음,7
강자갈판매,< 10,30,0.7,5.8,14.29%,12.78%,높음,7
폐자갈,< 10,30,0.8,2.3,10.72%,7.04%,중간,4
열무씨,< 10,30,0,0.5,-,1.79%,높음,3
플라스틱화분받침대,< 10,30,0.1,1.8,1.39%,4.87%,높음,8
화분나무받침대,< 10,30,0,0,-,-,높음,3
각종씨앗,< 10,30,0.3,0.8,14.29%,2.28%,높음,7
원추리씨앗,< 10,30,0,0.8,-,3.41%,높음,3
난다이,< 10,30,0.9,2.6,10%,7.15%,중간,4
화분보관,< 10,30,0.2,0.5,3.85%,2.11%,중간,5
식용허브화분,< 10,30,0.3,0,4.77%,-,높음,3
크로넨상토,< 10,30,0,0.3,-,0.85%,높음,3
소형콘솔,< 10,30,0,0,-,-,높음,3
심플한화장대,< 10,30,0,1.3,-,3.13%,높음,8
안방콘솔,< 10,30,0,0.8,-,2.21%,높음,3
종자씨,< 10,30,0,0.3,-,1.36%,높음,3
식물철제선반,< 10,30,0,0.3,-,0.81%,높음,3
국화씨,< 10,30,0,0.3,-,0.74%,높음,3
얌빈씨앗,< 10,30,0.3,4.1,6.25%,11.12%,중간,4
와송씨앗,< 10,30,0,2.3,-,8.34%,높음,10
식용꽃씨앗,< 10,30,0,0.3,-,0.87%,높음,3
약초씨앗,< 10,30,0.6,2.3,9.26%,6.82%,높음,8
몬스테라분갈이화분,< 10,30,0,0,-,-,높음,3
콘솔꾸미기,< 10,30,0,0.5,-,1.62%,높음,3
현관복도인테리어,< 10,30,0,0.3,-,0.68%,높음,3
대진유압펌프,< 10,30,1,2.6,11.12%,8.7%,높음,7
오이종자,< 10,30,0.4,2.3,4.29%,7.26%,높음,7
특이한병,< 10,30,0,0,-,-,중간,2
중형토분,< 10,30,0,0,-,-,높음,7
특대형플라스틱화분,< 10,30,0,2.8,-,7.86%,높음,10
페퍼민트씨앗,< 10,30,0.7,0.3,11.12%,0.97%,높음,3
율무씨앗,< 10,30,0.5,2.8,9.68%,8.09%,중간,6
페튜니아씨앗,< 10,30,0.3,0.3,5.56%,0.84%,높음,3
동력분무기가격,< 10,30,0.9,2.4,17.15%,5.81%,높음,7
방아씨,< 10,30,0.3,0.5,6.67%,1.79%,높음,3
아파트단지조경,< 10,30,0,0,-,-,높음,3
플라스틱원형화분,< 10,30,0,1,-,2.86%,높음,8
화분배양토,10,20,0.4,0.5,2.68%,2.28%,높음,8
마사토구입,10,20,0.4,1.8,3.58%,7.96%,높음,7
원예용배양토,10,20,0.1,2,1.59%,8.54%,높음,7
토양보습제,10,20,0.7,0,4.45%,-,높음,3
고형복합비료,20,10,0.1,0.3,0.58%,1.57%,높음,8
S16잘자람,10,20,0.7,0,4.17%,-,높음,3
텃밭용품,10,20,0,1.5,-,6%,높음,8
생력정,10,20,0.7,0.3,4.45%,1.14%,높음,3
고추건조망,10,20,0,0.8,-,3.41%,높음,8
담쟁이가든,10,20,0,0,-,-,중간,1
화분토양,10,20,0,0,-,-,높음,3
농업비닐,10,20,0.1,1,1.39%,3.45%,높음,8
모던화분,10,20,0.3,0,3.71%,-,높음,3
원통형화분,10,20,0.2,0.5,2.18%,2%,중간,5
축하꽃화분,10,20,0.4,1.3,2.35%,4.47%,높음,8
정원가드닝,10,20,0.1,0.5,0.96%,2%,높음,7
혈분비료,20,10,0.3,1.2,1.64%,8.89%,높음,3
식물비서싱고,20,10,0.7,0,6.67%,-,중간,1
사천화분,10,20,0.7,0.5,5.84%,2.28%,높음,10
소형금전수,10,20,0,0,-,-,높음,3
도자기화분만들기,10,20,0.3,0.3,2.78%,1%,높음,3
개업축하화분추천,10,20,0.7,1,4.77%,4.77%,높음,7
발코니화분,10,20,0,0,-,-,높음,3
뉴트리뱅크,10,20,1,3,5.56%,10.35%,중간,1
미생물실험교육,20,10,1.1,1,4.77%,9.1%,높음,7
섬피,10,20,0.4,0,3.9%,-,높음,7
식품성분검사,20,10,1.6,2.5,6.84%,15.63%,높음,7
야라유니칼슘,10,20,0.9,0.5,5.27%,2%,중간,7
단호박모종,10,20,1,0.3,6.25%,0.9%,높음,3
뿌리활력제,10,20,1,0,5.27%,-,높음,3
마사토판매,10,20,0.9,1.8,6.93%,7%,높음,10
엄나무모종,10,20,0,0.3,-,1.24%,중간,6
수간주입병,20,10,0.7,0,2.9%,-,높음,3
증산억제제,10,20,0.7,0,4.45%,-,높음,3
고추칼슘제,10,20,0,3.5,-,15.22%,높음,8
기간티움,10,20,0,0.3,-,0.91%,높음,3
수목외과수술,20,10,0,0,-,-,높음,3
굵은마사,10,20,0.2,2.8,1.25%,11%,중간,7
소토사,20,10,0.4,0.3,1.57%,2.39%,높음,3
깬돌,20,10,2.1,0.8,9.75%,6.98%,높음,7
흙포장,20,10,1.3,0.3,4.95%,2.78%,높음,7
송이자갈,20,10,0,0.3,-,1.57%,높음,8
파쇄석자갈,10,20,0.1,0.8,0.79%,2.42%,높음,8
두메부추모종,10,20,0.5,0.8,3.2%,4.17%,중간,6
골재판매,10,20,0.5,1,3.58%,5.56%,높음,10
모래1루베,20,10,0.3,0,0.96%,-,높음,7
흙경화제,20,10,1.5,0.5,6.5%,3.04%,높음,7
골재업체,20,10,1.1,1,5.45%,9.1%,높음,7
골프장모래,10,20,0,0,-,-,높음,3
방화모래,20,10,0,0.4,-,2.5%,높음,3
정원용자갈,10,20,0,1.3,-,5.96%,높음,8
미스김라일락묘목,10,20,0.5,0.8,4.17%,3%,높음,8
자갈포장,20,10,0.6,0.6,2.3%,5.56%,높음,7
홍자갈,10,20,0.1,3,1.34%,12%,높음,7
중고분무기,10,20,0.8,2,5.82%,8.34%,중간,7
스마트그린월,10,20,1,2.5,7.34%,9.62%,높음,8
실내조경업체,20,10,2.4,0.8,9.35%,6.67%,높음,7
잔디호미,10,20,0.3,0,2.6%,-,높음,7
조경삽,10,20,0,0.3,-,0.99%,높음,3
정원자재,10,20,0.9,2.8,5.36%,14.71%,높음,7
도로대형화분,10,20,0.6,2.5,6%,13.16%,높음,10
원형받침,10,20,0.3,0.3,2.39%,1.27%,높음,3
벽면식물,10,20,0.6,1.5,3.29%,5.77%,높음,8
거실화분받침,10,20,1.2,0.6,8.2%,2.05%,중간,4
식물정리,10,20,0,0.5,-,2.57%,높음,3
초록향,10,20,0,0,-,-,중간,1
커피박키트,10,20,0.7,1.6,4.96%,7.47%,높음,7
야외알전구,10,20,0.6,0.8,6.95%,3.13%,높음,8
꽃씨판매,10,20,2,5.3,14.29%,15%,높음,7
공심채모종,10,20,0,0.3,-,1.2%,높음,3
들잔디씨앗,10,20,0.6,0.3,4.17%,1.39%,높음,8
삼나무공간박스,10,20,1,0,6.67%,-,높음,3
화단화분,10,20,0.1,0.8,0.84%,3.95%,높음,8
메리골드꽃씨,10,20,0.7,0.5,6.07%,2.5%,높음,3
밀차분무기,10,20,0,0,-,-,높음,3
상추종자,10,20,0.6,0.5,3.68%,2.28%,높음,8
상토추천,< 10,20,0.3,0,8.34%,-,높음,3
호야분갈이흙,< 10,20,0.3,0.3,11.12%,1.2%,높음,3
화초분갈이흙,< 10,20,0,0.3,-,1.18%,낮음,0
베란다텃밭흙,< 10,20,0,1.8,-,8.75%,높음,8
정한미생물용토,< 10,20,0,0,-,-,높음,3
다육이상토,< 10,20,0,1,-,3.89%,높음,3
실내조경공사,20,< 10,0,0,-,-,중간,5
황토마사토,< 10,20,0.1,0,2.05%,-,높음,7
대지생명정,20,< 10,0.6,0.4,3.07%,7.7%,중간,5
소나무부엽토,< 10,20,0.3,0.3,8.34%,1.15%,높음,3
알갱이비료,< 10,20,0,0.3,-,1.48%,높음,3
피트모스흙,< 10,20,0.1,1.3,2.09%,5.21%,높음,8
발효퇴비,< 10,20,0.2,0,2.5%,-,높음,9
배양토마사토,< 10,20,0,0.5,-,2.09%,높음,7
씻은마사토,< 10,20,0.3,0.3,11.12%,1.32%,높음,3
서울분갈이,< 10,20,1.3,0.8,22.23%,3.53%,높음,3
마사토중립,< 10,20,0.2,0.8,2.95%,2.68%,중간,6
분갈이서비스,< 10,20,0.3,0.3,3.71%,0.97%,높음,3
식물보관,< 10,20,0,0,-,-,높음,3
리치소일,< 10,20,0,0.3,-,1.17%,중간,2
분재용토,< 10,20,0,0,-,-,높음,3
조화용플로랄폼,< 10,20,0,0,-,-,높음,3
펠렛계분,< 10,20,0,0,-,-,높음,3
딸기전용상토,< 10,20,0,1.8,-,7%,중간,4
입상황산고토,< 10,20,0,0,-,-,높음,3
혼합상토,< 10,20,0,0.8,-,3.13%,높음,3
미생물복합비료,< 10,20,0.3,0.8,8.7%,3.13%,높음,8
과일나무비료,< 10,20,0.1,0.3,3.58%,1.14%,높음,7
복숭아비료,< 10,20,0,0.3,-,1%,높음,3
수입비료,< 10,20,0,0.8,-,3.27%,높음,3
식물구독,< 10,20,0.9,1.5,15%,7.5%,높음,7
화분교체,< 10,20,0.2,0,4%,-,중간,6
유럽풍화분,< 10,20,0,0.6,-,2.09%,높음,3
가정집화분,< 10,20,0,0.5,-,2.09%,높음,3
경량화분,< 10,20,0,0,-,-,높음,3
금색화분,< 10,20,0,1.6,-,6.53%,높음,3
북유럽화분,< 10,20,0,0.3,-,1.48%,높음,3
소품화분,< 10,20,0.3,0.3,16.67%,0.93%,높음,3
심플화분,< 10,20,0,0.8,-,3.95%,높음,3
유리볼화분,< 10,20,0,0,-,-,높음,3
화분싸게파는곳,< 10,20,0.1,0.8,4.77%,3.75%,높음,7
멋진화분,< 10,20,0.2,0.3,4.35%,1.41%,중간,5
흙자갈,< 10,20,0,0.8,-,3.58%,높음,8
대형거실화분,< 10,20,0.1,1.3,3.13%,4.32%,높음,8
인테리어오크통,< 10,20,0,0.6,-,2.86%,높음,7
제주시화분,< 10,20,0,1.1,-,3.85%,높음,7
관엽나무,< 10,20,0,0,-,-,높음,7
가정화분,< 10,20,0,1,-,4.55%,높음,7
황금죽화분,< 10,20,0.1,0.5,2.09%,2.18%,높음,8
관상용화분,< 10,20,0,0.3,-,1.25%,높음,7
마포화분,< 10,20,0.6,0.3,11.43%,1.2%,높음,7
대형꽃화분,< 10,20,0.1,0.8,7.15%,3.62%,높음,7
고급대형화분,< 10,20,0.6,0.5,7.15%,2.39%,높음,7
저렴한화분,< 10,20,0,0.3,-,1.2%,높음,8
식당오픈화분,< 10,20,0.5,0.8,12.5%,3.58%,높음,8
걸이용화분,< 10,20,0,0,-,-,높음,3
선인장배달,< 10,20,0.3,1.6,4.77%,7.8%,높음,7
상추비료,< 10,20,0.5,0,7.15%,-,높음,8
화분식물영양제,< 10,20,0.1,1.1,4.77%,4.71%,높음,7
천연비타민씨,< 10,20,0,0.5,-,2%,낮음,0
비료시험연구기관,20,< 10,1.3,0,7.02%,-,높음,3
데일리도스,< 10,20,0,0,-,-,낮음,0
토양오염조사,20,< 10,0.3,0,1.37%,-,높음,7
대구마사토,< 10,20,0.3,3,6.67%,12.5%,높음,3
식물상처보호제,< 10,20,0.2,0.3,7.7%,1.07%,중간,4
배추뿌리혹병,< 10,20,0,0,-,-,높음,7
장미분갈이흙,< 10,20,0,0.5,-,2%,높음,3
수박모종가격,< 10,20,0,0.3,-,0.84%,높음,3
초당옥수수모종,< 10,20,0,0,-,-,중간,5
토란모종,< 10,20,0,0.8,-,3.04%,높음,3
시금치영양제,< 10,20,0,0.5,-,1.91%,높음,3
로즈쏘일,< 10,20,0,0.3,-,1.57%,중간,4
들깨모종가격,< 10,20,0.3,0.5,8.34%,2.95%,중간,4
민달팽이퇴치,< 10,20,0,0.5,-,2.64%,중간,6
칼슘액비,< 10,20,0,0,-,-,높음,3
방울토마토비료,< 10,20,0.1,0.3,2.95%,1.25%,높음,7
사과마그네슘,< 10,20,0,0,-,-,중간,1
고추밭비닐,< 10,20,0,0,-,-,높음,3
베고니아씨앗,< 10,20,0,0,-,-,높음,3
어린모종,< 10,20,0,3.4,-,19.12%,높음,3
고추발근제,< 10,20,0.1,1.3,2.5%,5%,높음,8
과수영양제,< 10,20,0,0.3,-,1.2%,낮음,0
사과영양제,< 10,20,0.1,0.3,1.79%,1.25%,높음,8
양파비료,< 10,20,0,0.6,-,2.64%,높음,3
휴믹산가리,< 10,20,0.3,0,4.77%,-,높음,3
포도착색제,< 10,20,0.1,0.3,2.86%,1.39%,높음,7
농약침투제,< 10,20,0.3,0.5,6.67%,1.67%,높음,3
골재단가,20,< 10,0,0.6,-,10%,높음,7
강화몰탈,< 10,20,0,0,-,-,높음,7
강자갈1톤,< 10,20,0.7,2.3,8.93%,17.31%,높음,7
핑크자갈,< 10,20,0.3,0.5,14.29%,2.9%,높음,7
스탬프콘크리트,< 10,20,0.4,1.4,6.46%,7.15%,중간,5
둥근자갈,< 10,20,0,0.8,-,3.27%,높음,3
에그석,< 10,20,0.4,0,5.89%,-,높음,3
묘지흙,< 10,20,0.7,0.5,11.12%,3.23%,높음,3
산소흙,< 10,20,0,0,-,-,높음,7
미장용모래,< 10,20,0,0,-,-,높음,3
해방풍모종,20,< 10,0,1,-,16.67%,낮음,0
열대어바닥재,< 10,20,0,0,-,-,낮음,0
카페자갈,< 10,20,0,0,-,-,높음,3
독활모종,< 10,20,0.9,3,10.35%,11.12%,중간,3
화병받침대,< 10,20,0.3,1,8.34%,3.58%,높음,3
사각받침,< 10,20,0,0.3,-,1.2%,높음,3
무종자,< 10,20,0.3,0.3,6.67%,1.05%,높음,3
원예끈,< 10,20,0.7,0.5,13.34%,3.58%,높음,3
원예지지대,< 10,20,0,1,-,5.27%,높음,8
식물고정끈,< 10,20,0.1,0.8,2.44%,3.58%,높음,7
2단화분정리대,< 10,20,0,1.4,-,6.18%,높음,7
플랜트선반,< 10,20,0,0,-,-,높음,3
화분받침사각,< 10,20,0,0,-,-,높음,3
화분이동받침대,< 10,20,0.3,0,11.12%,-,높음,3
화분재료,< 10,20,0.3,0.5,4.09%,2.78%,높음,7
야외테라스조명,< 10,20,0.1,0.8,3.13%,4.69%,높음,8
금잔화모종,< 10,20,0.2,0.5,4.77%,2.78%,중간,5
높은화분선반,< 10,20,0,0,-,-,높음,3
코르크화분,< 10,20,0.3,0,16.67%,-,높음,3
코코다마,< 10,20,0,0,-,-,중간,2
토분화분받침대,< 10,20,0,0,-,-,높음,3
통기성화분,< 10,20,0.3,0.5,5.56%,2.64%,높음,3
투명포트,< 10,20,0.3,0,5.56%,-,높음,3
팔각화분,< 10,20,0,0,-,-,높음,3
하모화분,< 10,20,0,0.3,-,1.14%,높음,3
하월시아화분,< 10,20,0,0,-,-,높음,3
종자씨앗,< 10,20,0.4,0.9,4.77%,4.11%,높음,7
조립식공간박스,< 10,20,0,0,-,-,높음,3
봄파종꽃씨,< 10,20,0.3,1,11.12%,4.77%,높음,3
샐러드씨앗,< 10,20,0,1.6,-,5.89%,높음,3
쑥모종,< 10,20,0,0,-,-,높음,3
익모초씨앗,< 10,20,0,1.5,-,5.56%,높음,3
적겨자씨앗,< 10,20,0,0.3,-,1.05%,높음,3
세이지씨앗,< 10,20,0,1,-,5.56%,높음,3
거실화분대,< 10,20,0.2,3.8,2.86%,11.37%,높음,10
화분분갈이업체,< 10,20,0.1,1.3,2.05%,8.78%,높음,7
채송화씨,< 10,20,0,0.3,-,1.2%,높음,8
줄기상추씨앗,< 10,20,0,0,-,-,높음,3
난진열대,< 10,20,0,4.3,-,17.71%,높음,10
기린초씨앗,< 10,20,0.3,0.3,33.34%,1.57%,높음,3
백일홍꽃씨,< 10,20,0.3,1,5%,5.89%,높음,8
엔진식분무기,< 10,20,0.4,1.8,4.17%,9.22%,높음,8
잎들깨씨앗,< 10,20,0,0.5,-,2.95%,높음,3
북유럽콘솔,< 10,20,0.4,1.3,5.36%,4.81%,높음,8
포인트콘솔,< 10,20,0,0.5,-,1.93%,높음,8
현관복도콘솔,< 10,20,0,0.8,-,2.89%,높음,3
로즈릴리,< 10,20,0,0,-,-,낮음,0
국산화분,< 10,20,0,0.3,-,1.2%,높음,3
칼라화분,< 10,20,0,0.3,-,1%,높음,7
특대형토분,< 10,20,0,0,-,-,높음,7
플라스틱토분화분,< 10,20,0.4,0,6.13%,-,높음,7
박하씨,< 10,20,0,0,-,-,높음,3
돌산갓씨앗,< 10,20,0.1,0.3,1.79%,0.93%,높음,7
범부채씨앗,< 10,20,0,0,-,-,높음,3
베르가못씨앗,< 10,20,0,0.5,-,2.28%,높음,3
100A동력분무기,< 10,20,0,0,-,-,높음,3
감초씨앗,< 10,20,0.2,2,3.34%,7.5%,중간,5
미니해바라기씨앗,< 10,20,0,0,-,-,높음,7
애호박종자,< 10,20,0.7,0.3,9.53%,1.14%,높음,3
백합시베리아,< 10,20,0,0,-,-,높음,3
바이오그로,10,10,2.7,2.3,15.63%,16.67%,중간,2
조경용퇴비,10,10,0.4,0.3,2.86%,1.79%,높음,7
한아름배양토,10,10,0.6,0.6,4.11%,3.78%,중간,5
조경용비료,10,10,0.6,0.5,4.09%,5.72%,높음,7
마사토20KG,10,10,0.1,0.5,1.05%,3.13%,높음,8
그린수피부숙토,10,10,1.3,0.3,11.12%,2.57%,높음,3
로얄산야초,10,10,1.7,2,10.42%,12.5%,높음,3
상토2호,10,10,0.1,0,2.86%,-,높음,7
정원조성,10,10,0.7,1.9,3.97%,21.43%,높음,7
원예심리상담사자격증,10,10,0.1,1.3,0.96%,7.36%,높음,7
유치원원예수업,10,10,0,0.3,-,1.43%,높음,7
소나무식재,10,10,0,0,-,-,중간,5
산림용고형비료,10,10,0.7,0,4.17%,-,높음,3
잔디용비료,10,10,0,0,-,-,중간,6
야외용화분,10,10,0.3,0.3,2.5%,2.09%,높음,8
모종키트,10,10,0.3,0,3.04%,-,높음,3
매장화분,10,10,0.8,0.8,5.36%,3.95%,높음,8
확장이전화분,10,10,0,0.5,-,2.95%,높음,8
사료분석,10,10,0.3,0,2.86%,-,높음,7
운동장마사토,10,10,0.4,0.5,2.86%,4.17%,높음,7
딸기모종판매,10,10,0.3,0,2.86%,-,높음,7
모종가격,10,10,0,0,-,-,높음,3
못비료,10,10,0,0,-,-,높음,3
수간주입기,10,10,0,0,-,-,높음,3
사과적화제,10,10,0,0,-,-,중간,2
마사토톤백,10,10,1,0.8,7.15%,6.82%,높음,10
적화제,10,10,0,0,-,-,중간,2
깬자갈,10,10,0.1,0.6,1.03%,3.23%,높음,7
친마사,10,10,0,0.3,-,1.79%,높음,3
경화토,10,10,0,0,-,-,중간,5
